MFCCs1-deviation,MFCCs1-median,MFCCs10-deviation,MFCCs10-median,MFCCs11-deviation,MFCCs11-median,MFCCs12-deviation,MFCCs12-median,MFCCs13-deviation,MFCCs13-median,MFCCs2-deviation,MFCCs2-median,MFCCs3-deviation,MFCCs3-median,MFCCs4-deviation,MFCCs4-median,MFCCs5-deviation,MFCCs5-median,MFCCs6-deviation,MFCCs6-median,MFCCs7-deviation,MFCCs7-median,MFCCs8-deviation,MFCCs8-median,MFCCs9-deviation,MFCCs9-median,category,short-term-energy-deviation,short-term-energy-median,short-term-entropy-deviation,short-term-entropy-median,spectral-centroid1-deviation,spectral-centroid1-median,spectral-centroid2-deviation,spectral-centroid2-median,spectral-entropy-deviation,spectral-entropy-median,spectral-flux-deviation,spectral-flux-median,spectral-rolloff-deviation,spectral-rolloff-median,zero-crossing-deviation,zero-crossing-median
0.061121212,0.196730706,-0.010224911,0.160867738,0.058663037,1.145835676,-0.065444985,0.140366325,0.046576051,-0.56084929,0.031705285,0.002550697,0.069708094,1.515047718,-0.075868457,0.167082327,0.04825385,0.000145014,-0.053233684,6.77E-05,0.042893365,0.302793904,0.036548091,0.043632075,0.064012368,-18.56974285,1,-0.366147698,0.01891328,0.050847469,0.056753853,-0.309338202,0.006082996,0.035885288,2.558921166,-0.053188557,0.086736772,0.046895476,0.222092337,0.032764965,0.006553126,0.067195813,0.124410377
0.044355834,0.236196878,0.102803001,1.437678323,0.084950035,0.493531188,0.083337026,0.403728685,0.031821397,-0.014478738,-0.090311365,0.011114473,0.07639816,2.625225136,-0.243765425,0.097079704,0.019226504,0.00019411,0.154600239,4.44E-05,0.186487274,0.620101597,0.008359364,0.007256894,0.170806774,-22.02847306,0,0.058107776,0.03375068,0.16971666,0.025019219,0.013311834,0.005765598,0.112097535,3.177855434,0.079383639,0.044737193,0.083614816,0.434423614,0.168755202,0.030836481,0.744140212,0.426056977
0.090847328,0.159069906,1.80E-16,5.852139492,0.056359511,1.98E-16,0,0.218186901,0.040108113,0,1.91E-16,0.027437339,0.077066819,0.894252812,-0.007194508,0.646439119,0.051846287,0.000214126,1.86E-16,0.000214126,0.061989067,0.180152395,0,0.162735849,0.033439822,-32.28938108,0,1.97E-16,0.096698113,0.228674315,8.84E-06,0,8.83E-06,0.077293505,3.087632883,1.95E-16,0.23328129,0.08840246,0.210325989,0,0.035248836,0.059089275,0.147677794
0.052420834,0.220922983,-0.118470652,5.840196754,0.043387509,-0.112324493,-0.102586918,0.276296006,0.067190753,0.101848483,-0.140988957,0.007276169,0.043991685,2.80496207,-0.108735756,0.07280837,0.078795705,8.55E-05,-0.169549113,2.67E-05,0.066639485,0.591981132,-0.006643838,0.0316582,0.055343486,-26.06720389,0,-0.175053081,0.035150581,0.160339371,0.003945325,-0.082706891,0.003944965,0.125271379,2.957260525,-0.105949913,0.281060969,0.128814287,0.374080286,-0.1513765,0.028166975,0.225981699,0.328918723
0.124301258,0.226878902,0.048180493,5.549896435,0.142697905,0.608947183,0.019227653,0.683533456,0.085286397,-0.000417913,-0.026165574,0.014588433,0.091236687,2.610351134,0.018704841,0.244939892,0.095736723,0.00011581,0.007464477,6.57E-05,0.099862589,0.541455007,0.061991148,0.140058055,0.104940587,-36.13942723,0,-0.511755515,0.091981132,0.206015208,2.11E-06,-0.127664654,2.10E-06,0.152826157,2.85975768,-0.143754574,0.278145804,0.091714473,0.357707335,-0.128119398,0.059461015,0.23971335,0.290230406
0.090723273,0.21992492,-0.012846021,6.739857968,0.07355692,0.349703045,-0.018375527,0.361282459,0.065668657,-0.06961322,-0.131220379,0.011813986,0.083927224,2.243170737,-0.105794924,0.442084203,0.072155941,0.000126455,-0.07170502,5.38E-05,0.069035718,0.409923803,-0.025637994,0.151759797,0.101240183,-29.60824795,0,-0.201607038,0.0466709,0.274597391,7.48E-05,-0.24035934,7.48E-05,0.126441741,2.737085034,-0.228539089,0.342951367,0.1387081,0.300574051,-0.172091723,0.02314191,0.200032592,0.202059144
0.276199121,0.178351212,0.029584652,5.33703426,0.108357345,-1.364988564,0.066068987,0.601496887,0.107216538,0.738715389,-0.022460777,0.005567095,0.089886674,2.428266052,0.068781592,0.097920311,0.159071579,0.000143621,0.044471092,5.54E-05,0.123566221,0.455551524,0.022458163,0.05016328,0.109305912,-28.57398272,0,0.101321843,0.030388244,0.186065403,0.004116063,0.255070302,0.004114889,0.213407813,2.835429417,0.167443752,0.342361912,0.12524793,0.320273978,0.116698141,0.021947948,0.363530616,0.279753266
0.159335182,0.173501129,0.128620333,3.069812951,0.10942779,-0.735334103,0.030260725,0.497927301,0.12522879,0.473308147,-0.019451658,0.006803514,0.148785175,2.180438813,0.07782994,0.159104881,0.177367892,0.000156983,0.031359254,8.13E-05,0.104535254,0.398222061,0.056822452,0.03701016,0.093181848,-25.43876743,0,0.16726622,0.033245646,0.158815278,0.0039825,0.189646939,0.003979174,0.178068586,2.760548164,0.222812207,0.372060735,0.189789615,0.285793099,0.052672134,0.017066295,0.227453027,0.229317852
0.116239575,0.198229207,-0.022650101,2.679124461,0.083918859,-0.515199002,-0.002581497,0.546557083,0.059681515,-0.270602676,-0.118946654,0.021636957,0.118946654,1.517803502,-0.086251227,0.35963914,0.086251227,0.000107794,-0.025422795,0.000104441,0.075758559,0.274492017,-0.165330293,0.119648041,0.159766376,-27.28671939,0,0.053650822,0.038416183,0.119543395,0.000286225,-0.339828988,0.000286225,0.116321999,2.401472665,0.089486666,0.656507082,0.090135164,0.227282732,-0.116239575,0.029876933,0.372882583,0.13815312
0.024634069,0.180843107,2.37E-16,7.9315225,0.006454395,2.02E-16,3.28E-17,0.093423758,0.013770293,1.40E-17,2.83E-16,0.088961682,0.013319691,0.325756604,9.44E-17,0.095052991,0.013163736,2.72E-05,2.75E-16,2.72E-05,0.014508582,0.000997823,7.60E-17,0.000997823,0.024866462,-42.66492006,0,2.27E-16,0.019185414,0.015365681,5.06E-08,4.78E-17,5.04E-08,0.027178963,2.838825,2.61E-16,0.473676132,0.040286835,0.221101882,8.16E-17,0.220282117,0.055681883,0.019185414
